Player,Team,Goals,Shots,Shots on target,Shots on target %,Shots per match,Shots on target per match,Goal per shot,Fouls scored,Penalties scored,Expected goals
Altay Bayındır,Manchester Utd,0,0,0,,0.00,0.00,,0,0,0.0
Jean-Ricner Bellegarde,Wolves,0,8,2,25.0,2.09,0.52,0.00,1,0,0.3
Rodrigo Bentancur,Tottenham,1,6,1,16.7,0.92,0.15,0.17,0,0,0.3
Sander Berge,Fulham,0,2,1,50.0,0.23,0.12,0.00,0,0,0.4
Lucas Bergvall,Tottenham,1,5,3,60.0,1.11,0.66,0.20,0,0,0.6
Beto,Everton,1,13,4,30.8,2.08,0.64,0.08,0,0,3.9
Jaka Bijol,Leeds United,0,0,0,,0.00,0.00,,0,0,0.0
Marco Bizot,Aston Villa,0,0,0,,0.00,0.00,,0,0,0.0
Oscar Bobb,Manchester City,0,3,0,0.0,0.59,0.00,0.00,0,0,0.4
Lamare Bogarde,Aston Villa,0,0,0,,0.00,0.00,,0,0,0.0
Jayden Bogle,Leeds United,0,8,2,25.0,0.91,0.23,0.00,0,0,0.7
Sven Botman,Newcastle Utd,0,2,1,50.0,0.37,0.18,0.00,0,0,0.1
Jarrod Bowen,West Ham,3,19,9,47.4,2.11,1.00,0.16,0,0,1.0
Conor Bradley,Liverpool,0,2,0,0.0,0.50,0.00,0.00,0,0,0.1
Brian Brobbey,Sunderland,0,0,0,,0.00,0.00,,0,0,0.0
Armando Broja,Burnley,0,0,0,,0.00,0.00,,0,0,0.0
David Brooks,Bournemouth,0,14,3,21.4,2.65,0.57,0.00,2,0,0.9
Jacob Bruun Larsen,Burnley,0,4,1,25.0,0.99,0.25,0.00,2,0,0.1
Emi Buendía,Aston Villa,2,12,2,16.7,3.03,0.50,0.17,0,0,0.7
Hugo Bueno,Wolves,0,3,1,33.3,0.44,0.15,0.00,0,0,0.2
Santiago Bueno,Wolves,1,2,2,100.0,0.37,0.37,0.50,0,0,0.8
Facundo Buonanotte,Chelsea,0,0,0,,0.00,0.00,,0,0,0.0
Dan Burn,Newcastle Utd,0,2,0,0.0,0.22,0.00,0.00,0,0,0.1
Sam Byram,Leeds United,0,0,0,,0.00,0.00,,0,0,0.0
Moisés Caicedo,Chelsea,3,10,4,40.0,1.18,0.47,0.30,0,0,0.6
Tom Cairney,Fulham,0,5,0,0.0,2.45,0.00,0.00,0,0,0.3
Riccardo Calafiori,Arsenal,1,17,1,5.9,2.20,0.13,0.06,0,0,1.9
Dominic Calvert-Lewin,Leeds United,1,14,7,50.0,2.36,1.18,0.07,0,0,1.8
Fabio Carvalho,Brentford,1,2,1,50.0,1.86,0.93,0.50,0,0,0.7
Casemiro,Manchester Utd,2,6,2,33.3,1.19,0.40,0.33,0,0,1.1
Matty Cash,Aston Villa,2,8,3,37.5,0.92,0.34,0.25,0,0,0.2
Timothy Castagne,Fulham,0,4,0,0.0,0.90,0.00,0.00,0,0,0.4
Trevoh Chalobah,Chelsea,2,9,3,33.3,1.23,0.41,0.22,0,0,0.7
Rayan Cherki,Manchester City,1,3,1,33.3,2.93,0.98,0.33,0,0,0.3
Federico Chiesa,Liverpool,2,8,2,25.0,6.15,1.54,0.25,0,0,0.9
Ryan Christie,Bournemouth,1,5,1,20.0,2.39,0.48,0.20,0,0,0.8
Samuel Chukwueze,Fulham,0,2,0,0.0,5.14,0.00,0.00,0,0,0.2
Nathaniel Clyne,Crystal Palace,0,0,0,,0.00,0.00,,0,0,0.0
Séamus Coleman,Everton,0,0,0,,0.00,0.00,,0,0,0.0
Nathan Collins,Brentford,0,5,3,60.0,0.56,0.33,0.00,0,0,0.3
Lewis Cook,Bournemouth,0,0,0,,0.00,0.00,,0,0,0.0
Diego Coppola,Brighton,0,0,0,,0.00,0.00,,0,0,0.0
Marc Cucurella,Chelsea,0,6,1,16.7,0.75,0.13,0.00,0,0,0.4
Jorge Cuenca,Fulham,0,0,0,,0.00,0.00,,0,0,0.0
Josh Cullen,Burnley,1,4,4,100.0,0.47,0.47,0.25,0,0,0.2
Jair Cunha,Nott'ham Forest,0,0,0,,0.00,0.00,,0,0,0.0
Matheus Cunha,Manchester Utd,1,19,9,47.4,3.28,1.55,0.05,0,0,1.5
Diogo Dalot,Manchester Utd,0,3,0,0.0,0.52,0.00,0.00,0,0,0.1
Mikkel Damsgaard,Brentford,1,6,4,66.7,0.95,0.64,0.17,0,0,0.4
Kevin Danso,Tottenham,0,0,0,,0.00,0.00,,0,0,0.0
Karl Darlow,Leeds United,0,0,0,,0.00,0.00,,0,0,0.0
Maxim De Cuyper,Brighton,1,4,3,75.0,0.88,0.66,0.25,1,0,0.7
Liam Delap,Chelsea,0,3,2,66.7,2.93,1.96,0.00,0,0,0.2
Sepp van den Berg,Brentford,0,5,3,60.0,0.56,0.33,0.00,0,0,1.0
Justin Devenny,Crystal Palace,0,5,2,40.0,3.02,1.21,0.00,0,0,0.4
Kiernan Dewsbury-Hall,Everton,1,8,1,12.5,1.01,0.13,0.13,0,0,0.6
Bafodé Diakité,Bournemouth,0,0,0,,0.00,0.00,,0,0,0.0
Amad Diallo,Manchester Utd,0,11,4,36.4,1.72,0.63,0.00,0,0,1.9
Habib Diarra,Sunderland,0,6,1,16.7,1.57,0.26,0.00,0,0,0.6
Rúben Dias,Manchester City,0,2,0,0.0,0.25,0.00,0.00,0,0,0.1
Tyler Dibling,Everton,0,0,0,,0.00,0.00,,0,0,0.0
Lucas Digne,Aston Villa,0,5,2,40.0,0.69,0.28,0.00,2,0,0.3
Issa Diop,Fulham,0,0,0,,0.00,0.00,,0,0,0.0
El Hadji Malick Diouf,West Ham,0,7,1,14.3,0.82,0.12,0.00,0,0,0.2
Matt Doherty,Wolves,0,1,0,0.0,0.31,0.00,0.00,0,0,0.1
Jeremy Doku,Manchester City,0,5,4,80.0,0.95,0.76,0.00,0,0,0.9
Nicolás Domínguez,Nott'ham Forest,0,0,0,,0.00,0.00,,0,0,0.0
Gianluigi Donnarumma,Manchester City,0,0,0,,0.00,0.00,,0,0,0.0
Patrick Dorgu,Manchester Utd,0,4,0,0.0,0.69,0.00,0.00,0,0,0.2
Max Dowman,Arsenal,0,3,0,0.0,9.31,0.00,0.00,0,0,0.1
Martin Dúbravka,Burnley,0,0,0,,0.00,0.00,,0,0,0.0
Lewis Dunk,Brighton,0,8,0,0.0,0.89,0.00,0.00,2,0,0.6
Odsonne Édouard,Crystal Palace,0,0,0,,0.00,0.00,,0,0,0.0
Marcus Edwards,Burnley,0,0,0,,0.00,0.00,,0,0,0.0
Hjalmar Ekdal,Burnley,0,3,1,33.3,0.51,0.17,0.00,0,0,0.2
Hugo Ekitike,Liverpool,3,16,4,25.0,2.87,0.72,0.19,0,0,2.3
Anthony Elanga,Newcastle Utd,0,4,1,25.0,0.93,0.23,0.00,0,0,0.8
Harvey Elliott,Liverpool,0,0,0,,0.00,0.00,,0,0,0.0
Harvey Elliott,Aston Villa,0,3,0,0.0,2.76,0.00,0.00,0,0,0.2
Wataru Endo,Liverpool,0,0,0,,0.00,0.00,,0,0,0.0
Romain Esse,Crystal Palace,0,0,0,,0.00,0.00,,0,0,0.0
