Player,Team,Passes completed,Passes completed %,Assists,Expected assists,Key passes
Abdukodir Khusanov,Manchester City,121,81.8,0,0.0,0
Max Kilman,West Ham,437,87.6,0,0.3,3
Joshua King,Fulham,163,78.4,1,0.4,8
Justin Kluivert,Bournemouth,185,73.1,0,1.1,11
Joe Knight,Brighton,0,,0,0.0,0
Randal Kolo Muani,Tottenham,71,76.3,0,0.2,5
Ibrahima Konaté,Liverpool,863,89.5,0,0.4,5
Ezri Konsa,Aston Villa,882,94.8,0,0.2,3
Charalampos Kostoulas,Brighton,21,63.6,0,0.0,3
Mateo Kovačić,Manchester City,22,100.0,0,0.0,0
Emil Krafth,Newcastle Utd,22,78.6,0,0.0,0
Ladislav Krejčí,Wolves,471,84.1,1,1.0,6
Mohammed Kudus,Tottenham,361,71.8,5,2.3,21
Jonah Kusi-Asare,Fulham,4,80.0,0,0.0,1
Maxence Lacroix,Crystal Palace,579,86.0,2,0.3,3
Senne Lammens,Manchester Utd,199,55.7,0,0.0,0
Jamaal Lascelles,Newcastle Utd,6,75.0,0,0.0,0
Josh Laurent,Burnley,152,75.2,0,0.2,2
Roméo Lavia,Chelsea,63,92.6,0,0.0,0
Enzo Le Fée,Sunderland,332,75.3,3,0.9,16
Bernd Leno,Fulham,481,76.5,0,0.0,0
Jefferson Lerma,Crystal Palace,206,72.5,1,0.2,4
Rico Lewis,Manchester City,131,88.5,1,0.9,2
Keane Lewis-Potter,Brentford,126,75.0,1,0.4,5
Myles Lewis-Skelly,Arsenal,114,87.0,0,0.1,2
Matthijs de Ligt,Manchester Utd,545,87.1,0,0.8,3
Victor Lindelöf,Aston Villa,74,88.1,1,0.0,1
Valentino Livramento,Newcastle Utd,502,85.1,1,0.6,8
Sean Longstaff,Leeds United,354,81.4,2,1.3,20
Fer López,Wolves,68,74.7,1,0.6,3
Lucas,Burnley,26,76.5,0,0.1,1
Florentino Luís,Burnley,419,84.6,1,0.2,6
Douglas Luiz,Nott'ham Forest,110,85.9,0,0.5,3
Saša Lukić,Fulham,264,79.5,1,1.0,15
Ian Maatsen,Aston Villa,248,80.0,0,0.8,7
Alexis Mac Allister,Liverpool,479,84.9,2,0.6,10
Noni Madueke,Arsenal,106,62.4,0,1.0,8
